Verse No,Verse,Class
170,The parable of those who reject faith is as if one were to shout like a goat-herd to things that listen to nothing but calls and cries; deaf dumb and blind they are void of wisdom.,Rest_verses
171,O ye who believe! eat of the good things that We have provided for you and be grateful to God if it is Him ye worship.,Fasting
172,He hath only forbidden you dead meat and blood and the flesh of swine and that on which any other name hath been invoked besides that of God but if one is forced by necessity without wilful disobedience nor transgressing due limits then is he guiltless. For God is Oft-Forgiving Most Merciful.,Fasting
173,Those who conceal God’s revelations in the Book and purchase for them a miserable profit they swallow into themselves naught but fire; God will not address them on the Day of Resurrection nor purify them; grievous will be their penalty .,Rest_verses
174,They are the ones who buy error in place of guidance and torment in place of forgiveness. Ah! what boldness (they show) for the Fire!.,Rest_verses
175, (Their doom is) because God sent down the Book in truth but those who seek causes of dispute in the Book are in a schism far (from the purpose).,Rest_verses
176,It is not righteousness that ye turn your faces toward East or West; but it is righteousness to believe in God and the Last Day and the Angels and the Book and the Messengers; to spend of your substance out of love for Him for your kin for orphans for the needy for the wayfarer for those who ask and for the ransom of slaves; to be steadfast in prayer and practice regular charity; to fulfil the contracts which ye have made; and to be firm and patient in pain (or suffering) and adversity and throughout all periods of panic. Such are the people of truth the God-fearing.,Rest_verses
177,O ye who believe! the law of equality is prescribed to you in cases of murder; the free for the free the slave for the slave the woman for the woman. But if any remission is made by the brother of the slain then grant any reasonable demand and compensate him with handsome gratitude; this is a concession and a Mercy from your Lord. After this whoever exceeds the limits shall be in grave penalty.,Rest_verses
178,In the law of equality there is (saving of) life to you O ye men of understanding! that ye may restrain yourselves.,Rest_verses
179,It is prescribed when death approaches any of you if he leave any goods that he make a bequest to parents and next of kin according to reasonable usage; this is due from the God-fearing.,Rest_verses
180,If anyone changes the bequest after hearing it the guilt shall be on those who make the change. For God hears and knows all things.,Rest_verses
181,But if anyone fears partiality or wrong-doing on the part of the testator and makes peace between (the parties concerned) there is no wrong in him; for God is Oft-Forgiving Most Merciful.,Rest_verses
182,O ye who believe! fasting is prescribed to you as it was prescribed to those before you that ye may (learn) self-restraint.,Fasting
183,(Fasting) for a fixed number of days; but if any of you is ill or on a journey the prescribed number (should be made up) from days later. For those who can do it (with hardship) is a ransom the feeding of one that is indigent. But he that will give more of his own free will it is better for him and it is better for you that ye fast if ye only knew.,Fasting
184,Ramadan is the (month) in which was sent down the Qur’an as a guide to mankind also clear (Signs) for guidance and judgment (between right and wrong). So everyone of you who is present (at his home) during that month should spend it in fasting but if anyone is ill or on a journey the prescribed period (should be made up) by days later. God intends every facility for you He does not want to put you to difficulties. (He wants you) to complete the prescribed period and to glorify Him in that He has guided you; and perchance ye shall be grateful.,Fasting
185,When my servants ask thee concerning Me I am indeed close (to them); I listen to the prayer of every suppliant when he calleth on Me; let them also with a will listen to My call and believe in Me; that they may walk in the right way.,Fasting
186,Permitted to you on the night of the fasts is the approach to your wives. They are your garments. And ye are their garments. God knoweth what ye used to do secretly among yourselves; but He turned to you and forgave you; so now associate with them and seek what God hath ordained for you and eat and drink until the white thread of dawn appear to you distinct from its black thread; then complete your fast till the night appears; but do not associate with your wives while ye are in retreat in the mosques. Those are limits (set by) God; approach not nigh thereto. Thus doth God make clear His signs to men that they may learn self-restraint.,Fasting
187,And do not eat up your property among yourselves for vanities nor use it as bait for the judges with intent that ye may eat up wrongfully and knowingly a little of (other) people’s property.,Rest_verses
188,They ask thee concerning the new moons. Say: they are but signs to mark fixed periods of time in (the affairs of) men and for pilgrimage. It is no virtue if ye enter your houses from the back; it is virtue if ye fear God. Enter houses through the proper doors and fear God that ye may prosper.,Rest_verses
189,Fight in the cause of God those who fight you but do not transgress limits; for God loveth not transgressors.,Rest_verses
190,And slay them wherever ye catch them and turn them out from where they have turned you out; for tumult and oppression are worse than slaughter; but fight them not at the Sacred Mosque unless they (first) fight you there; but if they fight you slay them. Such is the reward of those who suppress faith.,Rest_verses
191,But if they cease God is Oft-Forgiving Most Merciful.,Rest_verses
192,And fight them on until there is no more tumult or oppression and there prevail justice and faith in God; but if they cease let there be no hostility except to those who practice oppression.,Rest_verses
193,The prohibited month for the prohibited month and so for all things prohibited there is the law of equality. If then anyone transgresses the prohibition against you transgress ye likewise against him. But fear God and know that God is with those who restrain themselves.,Rest_verses
194,And spend of your substance in the cause of God and make not your own hands contribute to your destruction but do good; for God loveth those who do good.,Rest_verses
195,And complete the Hajj or `Umra in the service of God. But if ye are prevented (from completing it) send an offering for sacrifice such as ye may find and do not shave your heads until the offering reaches the place of sacrifice. And if any of you is ill or has an ailment in his scalp (necessitating shaving) (he should) in compensation either fast or feed the poor or offer sacrifice; and when ye are in peaceful conditions (again) if anyone wishes to continue the ‘Umra on to the Hajj he must make an offering such as he can afford it he should fast three days during the Hajj and seven days on his return making ten days in all. This is for those whose household is not in (the precincts of) the Sacred Mosque. And fear God and know that God is strict in punishment.,Pilgrimage
196,For Hajj are the months well known. If anyone undertakes that duty therein let there be no obscenity nor wickedness nor wrangling in the Hajj. And whatever good ye do (be sure) God knoweth it. And take a provision (with you) for the journey but the best of provisions is right conduct. So fear Me o ye that are wise.!,Pilgrimage
197,It is no crime in you if ye seek of the bounty of your Lord (during Pilgrimage). Then when ye pour down from (Mount) Arafat celebrate the praises of God at the Sacred Monument and celebrate His praises as He has directed you even though before this ye went astray.,Pilgrimage
198,Then pass on at a quick pace from the place whence it is usual for the multitude so to do and ask for God’s forgiveness. For God is Oft Forgiving Most Merciful.,Pilgrimage
199,So when ye have accomplished your holy rites celebrate the praises of God as ye used to celebrate the praises of your fathers yea with far more heart and soul. There are men who say: OOur Lord! give us (thy bounties) in this world!” but they will have no portion in the hereafter.,Pilgrimage
200,And there are men who say: OOur Lord! give us good in this world and good in the Hereafter and defend us from the torment on the fire!”,Pilgrimage
201,To these will be allotted what they have earned and God is quick in account.,Pilgrimage
202,Celebrate the praises of God during the Appointed Days but if anyone hastens to leave in two days there is no blame on him and if anyone stays on there is no blame on him if his aims is to do right. Then fear God and know that ye will surely be gathered unto Him.,Pilgrimage
203,There is the type of man whose speech about this world’s life may dazzle thee and he calls God to witness about what is in his heart; yet is he the most contentious of enemies.,Rest_verses
204,When he turns his back his aim everywhere is to spread mischief through the earth and destroy crops and cattle. But God loveth not mischief.,Rest_verses
205,When it is said to him OFear God” he is led by arrogance to (more) crime. Enough for him is Hell; an evil bed indeed (to lie on)!,Rest_verses
206,And there is the type of man who gives his life to earn the pleasure of God; and God is full of kindness to (His) devotees.,Rest_verses
207,O ye who believe! enter into Islam whole-heartedly; and follow not the footsteps of the Evil One; for he is to you an avowed enemy.,Rest_verses
208,If ye backslide after the clear (signs) have come to you then know that God is Exalted in Power Wise.,Rest_verses
209,Will they wait until God comes to them in canopies of clouds with angels (in His train) and the question is (thus) settled? But to God do all questions go back (for decision).,Rest_verses
210,Ask the Children of Israel how many Clear (Signs) We have sent them. But if anyone after God’s favor has come to him substitutes (something else) God is strict in punishment.,Rest_verses
211,The life of this world is alluring to those who reject faith and they scoff at those who believe. But the righteous will be above them on the Day of Resurrection; for God bestows His abundance without measures on whom He will.,Rest_verses
212,Mankind was one single nation and God sent Messengers with glad tidings and warnings; and with them He sent the Book in truth to judge between people in matters wherein they differed; but the People of the Book after the clear Signs came to them did not differ among themselves except through selfish contumacy. God by His Grace guided the believers to the truth concerning that wherein they differed. For God guides whom He will to a path that is straight.,Rest_verses
213,Or do ye think that ye shall enter the Garden (of Bliss) without such (trials) as came to those who passed away before you? They encountered suffering and adversity and were so shaken in spirit that even the Apostle and those of faith who were with him cried: OWhen (will come) the help of God?” Ah! verily the help of God is (always) near!,Rest_verses
214,They ask thee what they should spend (in charity). Say: Whatever ye spend that is good is for parents and kindred and orphans and those in want and for wayfarers. And whatever ye do that is good God knoweth it well.,Rest_verses
215,Fighting is prescribed for you and ye dislike it. But it is possible that ye dislike a thing which is good for you and that ye love a thing which is bad for you. But God knoweth and ye know not.,Rest_verses
216,They ask thee concerning fighting in the Prohibited Month. Say: OFighting therein is a grave (offence); but graver is it in the sight of God to prevent access to the path of God to deny Him to prevent access to the Sacred Mosque and drive out its members. Tumult and oppression are worse than slaughter. Nor will they cease fighting you until they turn you back from your faith if they can. And if any of you turn back from their faith and die in unbelief their works will bear no fruit in this life and in the Hereafter; they will be Companions of the Fire and will abide therein.,Rest_verses
217,Those who believed and those who suffered exile and fought (and strove and struggled) in the path of God they have the hope of the Mercy of God; and God is Oft-Forgiving Most Merciful.,Rest_verses
218,They ask thee concerning wine and gambling. Say: OIn them is great sin and some profit for men; but the sin is greater than the profit.” They ask thee how much they are to spend; say: OWhat is beyond your needs.” Thus doth God make clear to you His Signs: in order that ye may consider.,Rest_verses
219,(Their bearings) on this life and the Hereafter. They ask thee concerning orphans. Say: OThe best thing to do is what is for their good; if ye mix their affairs with yours they are your brethren; but God knows the man who means mischief from the man who means good. And if God had wished He could have put you into difficulties: He is indeed Exalted in Power Wise.”,Rest_verses
220,Do not marry unbelieving women (idolaters) until they believe; a slave woman who believes is better than an unbelieving woman even though she allure you. Nor marry (your girls) to unbelievers until they believe: a man slave who believes is better than un unbeliever even though he allure you. Unbelievers do (but) beckon you to the fire. But God beckons by His grace to the Garden (of Bliss) and forgiveness and makes His Signs clear to mankind: that they may celebrate His praise.,Rest_verses
221,They ask thee concerning women’s courses. Say: They are a hurt and a pollution; so keep away from women in their courses and do not approach them until they are clean. But when they have purified themselves ye may approach them in any manner time or place ordained for you by God. For God loves those who turn to Him constantly and He loves those who keep themselves pure and clean.,Fasting
222,Your wives are as a tilth unto you; so approach your tilth when or how ye will. But do some good act for your souls beforehand; and fear God and know that ye are to meet Him (in the Hereafter) and give (these) good tidings to those who believe.,Rest_verses
223,And make not God’s (name) an excuse in your oaths against doing good or acting rightly or making peace between persons; for God is one who heareth and knoweth all things.,Rest_verses
224, God will not call you to account for thoughtlessness in your oaths but for the intention in your hearts; and He is Oft-Forgiving Most Forbearing.,Fasting
225,For those who take an oath for abstention from their wives a waiting for four months is ordained; if then they return God is Oft-Forgiving Most Merciful.,Fasting
226,But if their intention is firm for divorce God heareth and knoweth all things.,Pilgrimage
227,Divorced women shall wait concerning themselves for three monthly periods nor is it lawful for them to hide what God hath created in their wombs if they have faith in God and the Last Day. And their husbands have the better right to take them back in that period if they wish for reconciliation. And women shall have rights similar to the rights against them according to what is equitable; but men have a degree (of advantage) over them and God is Exalted in Power Wise.,Rest_verses
228,A divorce is only permissible twice: after that the parties should either hold together on equitable terms or separate with kindness. It is not lawful for you (men) to take back any of your gifts (from your wives) except when both parties fear that they would be unable to keep the limits ordained by God. If ye (judges) do indeed fear that they would be unable to keep the limits ordained by God there is no blame on either of them if she give something for her freedom. These are the limits ordained by God; so do not transgress them. If any do transgress the limits ordained by God such persons wrong (themselves as well as others).,Fasting
229,So if a husband divorces his wife (irrevocably) he cannot after that remarry her until after she has married another husband and he has divorced her. In that case there is no blame on either of them if they reunite provided they feel that they can keep the limits ordained by God. Such are the limits ordained by God which He makes plain to those who understand.,Fasting
230,When ye divorce women and they fulfil the term of their (`Iddat) either take them back on equitable terms or set them free on equitable terms; but do not take them back to injure them or to take undue advantage; if anyone does that He wrongs his own soul. Do not treat God’s Signs as a jest but solemnly rehearse God’s favors on you and the fact that He sent down to you the Book and Wisdom for your instruction. And fear God and know that God is well acquainted with all things.,Rest_verses
231,When ye divorce women and they fulfil the term of their (`Iddat) do not prevent them from marrying their (former) husbands if they mutually agree on equitable terms. This instruction is for all amongst you who believe in God and the Last Day. That is (the course making for) most virtue and purity amongst you and God knows and ye know not.,Rest_verses
232,The mothers shall give suck to their offspring for two whole years if the father desires to complete the term. But he shall bear the cost of their food and clothing on equitable terms. No soul shall have a burden laid on it greater than it can bear. No mother shall be treated unfairly on account of her child nor father on account of his child. An heir shall be chargeable in the same way if they both decide on weaning by mutual consent and after due consultation there is no blame on them. If ye decide on a foster-mother for your offspring there is no blame on you provided ye pay (the mother) what ye offered on equitable terms. But fear God and know that God sees well what ye do.,Rest_verses
233,If any of you die and leave widows behind they shall wait concerning themselves four months and ten days: when they have fulfilled their term there is no blame on you if they dispose of themselves in a just and reasonable manner. And God is well acquainted with what ye do.,Rest_verses
234, There is no blame on you if ye make an offer of betrothal or hold it in your hearts. God knows that ye cherish them in your hearts: but do not make a secret contract with them except in terms honorable nor resolve on the tie of marriage till the term prescribed is fulfilled. And know that God knoweth what is in your hearts and take heed of Him; and know that God is Oft Forgiving Most Forbearing.,Rest_verses
235,There is no blame on you if ye divorce women before consummation or the fixation of their dower; but bestow on them (a suitable gift) the wealthy according to his means and the poor according to his means; a gift of a reasonable amount is due from those who wish to do the right thing.,Rest_verses
236,And if ye divorce them before consummation but after the fixation of a dower for them then the half of the dower (is due to them) unless they remit it. Or (the man’s half) is remitted by him in whose hands is the marriage tie; and the remission (of the man’s half) is the nearest to righteousness. And do not forget liberality between yourselves. For God sees well all that ye do.,Rest_verses
237,Guard strictly your (habit of) prayers especially the middle prayer and stand before God in a devout (frame of mind).,Rest_verses
238,If ye fear (an enemy) pray on foot or riding (as may be most convenient) but when ye are in security celebrate God’s praises in the manner He has taught you which ye knew not (before).,Pilgrimage
239,Those of you who die and leave widows should bequeath for their widows a year’s maintenance and residence; but if they leave (the residence) there is no blame on you for what they do with themselves provided it is reasonable and God is Exalted in Power Wise.,Rest_verses
240,For divorced women maintenance (should be provided) on a reasonable (scale). This is a duty on the righteous.,Rest_verses
241,Thus doth God make clear His Signs to you: in order that ye may understand.,Fasting
242,Didst thou not turn thy vision to those who abandoned their homes though they were thousands (in number) for fear of death? God said to them: ODie.” Then He restored them to life. For God is full of bounty to mankind but most of them are ungrateful.,Rest_verses
243,Then fight in the cause of God and know that God heareth and knoweth all things.,Rest_verses
244,Who is he that will loan to God a beautiful loan which God will double unto his credit and multiply many times? It is God that giveth (you) want or plenty and to Him shall be your return.,Pilgrimage
245,Hast thou not turned thy vision to the chiefs of the children of Israel after (the time of) Moses? They said to a Prophet (that was) among them: OAppoint for us a king that we may fight in the cause of God.” He said: OIs it not possible if ye were commanded to fight that ye will not fight?” They said: OHow could we refuse to fight in the cause of God seeing that we were turned out of our homes and our families?” But when they were commanded to fight they turned back except a small band among them. But God has full knowledge of those who do wrong.,Rest_verses
246,Their Prophet said to them: OGod hath appointed Talut as king over you.” They say: OHow can he exercise authority over us when we are better fitted than he to exercise authority and he is not even gifted with wealth in abundance?” He said: OGod hath chosen him above you and hath gifted him abundantly with knowledge and bodily prowess; God granteth His authority to whom He pleaseth. God careth for all and He knoweth all things.”,Rest_verses
247,And (further) their Prophet said to them: OA sign of his authority is that there shall come to you the Ark of the Covenant with (an assurance) therein of security from your Lord and the relics left by the family of Moses and the family of Aaron carried by angels. In this is a Symbol for you if ye indeed have faith.”,Rest_verses
248,When Talut set forth with the armies he said: OGod will test you at the stream; if any drinks of its water he goes not with my army; only those who taste not of it go with me; a mere sip out of the hand is excused.” But they all drank of it except a few. When they crossed the river he and the faithful ones with him they said: OThis day we cannot cope with Goliath and his forces.” But those who were convinced that they must meet God said: OHow oft by God’s will hath a small force vanquished a big one? God is with those who steadfastly persevere.”,Rest_verses
249,When they advanced to meet Goliath and his forces they prayed: OOur Lord! pour out constancy on us and make our steps firm; help us against those that reject faith.”,Rest_verses
250,By God’s will they routed them: and David slew Goliath; and God gave him power and wisdom and taught him whatever (else) He willed. And did not God check one set of people by means of another the earth would indeed be full of mischief but God is full of bounty to all the worlds.,Rest_verses
251,These are the signs of God; We rehearse them to thee in truth: verily thou art one of the apostles.,Rest_verses
252,Those apostles We endowed with gifts some above others: to one of them God spoke; others He raised to degrees (of honor); to Jesus the son of Mary We gave clear (Signs) and strengthened him with the Holy Spirit. If God had so willed succeeding generations would not have fought among each other after clear (Signs) had come to them but they (chose) to wrangle some believing and others rejecting. If God had so willed they would not have fought each other; but God fulfilleth His plan.,Rest_verses
253,O ye who believe! spend out of (the bounties) We have provided for you before the day comes when no bargaining (will avail) nor friendship nor intercession. Those who reject faith they are the wrong-doers.,Rest_verses
254,Allah! there is no God but He the living the Self-subsisting Eternal. No slumber can seize him nor sleep. His are all things in the heavens and on earth. Who is there can intercede in His presence except as He permitteth? He knoweth what (appeareth to his creatures as) before or after or behind them. Nor shall they compass aught of his knowledge except as He willeth. His throne doth extend over the heavens and the earth and He feeleth no fatigue in guarding and preserving them. For He is the Most High the Supreme (in glory).,Rest_verses
255,Let there be no compulsion in religion. Truth stands out clear from error; whoever rejects evil and believes in God hath grasped the most trustworthy hand-hold that never breaks. And God heareth and knoweth all things.,Rest_verses
256,God is the Protector of those who have faith: from the depths of darkness He will lead them forth into light. Of those who reject faith the patrons are the Evil Ones: from light they will lead them forth into the depths of darkness. They will be companions of the fire to dwell therein (for ever).,Rest_verses
257,Hast thou not turned thy vision to one who disputed with Abraham about his Lord because God had granted him power? Abraham said: OMy Lord is He Who Giveth life and death.” He said: OI give life and death.” Said Abraham: Obut it is God that causeth the sun to rise from the East do thou then cause him to rise from the West.” Thus was he confounded who (in arrogance) rejected faith. Nor doth God give guidance to a people unjust.,Rest_verses
258,Or (take) the similitude of one who passed by a hamlet all in ruins to its roofs. He said: OOh! how shall God bring it (ever) to life after (this) its death?” But God caused him to die for a hundred years then raised him up (again). He said: OHow long didst thou tarry (thus)?” He said: O(perhaps) a day or part of a day.” He said: ONay thou hast tarried thus a hundred years; but look at thy food and thy drink; they show no signs of age; and look at thy donkey: and that We may make of thee a Sign unto the people look further at the bones how We bring them together and clothe them with flesh! When this was shown clearly to him he said: OI know that God hath power over all things.”,Rest_verses
259,Behold! Abraham said: OMy Lord! show me how thou givest life to the dead. He said: ODost thou not then believe?” He said: OYea! but to satisfy my own understanding.” He said: OTake four birds; tame them to turn to thee; put a portion of them on every hill and call to them; they will come to thee (flying) with speed. Then know that God is Exalted in Power Wise.”,Rest_verses
260,The parable of those who spend their substance in the way of God is that of a grain of corn: it groweth seven ears and each ear hath a hundred grains. God giveth manifold increase to whom He pleaseth; and God careth for all and He knoweth all things.,Rest_verses
261,Those who spend their substance in the cause of God and follow not up their gifts with reminders of their generosity or with injury for them their reward is with their Lord; on them shall be no fear nor shall they grieve.,Rest_verses
262,King words and the covering of faults are better than charity followed by injury. God is free of all wants and he is Most Forbearing.,Rest_verses
263,O ye who believe! cancel not your charity by reminders of your generosity or by injury like those who spend their substance to be seen of men but believe neither in God nor in the last day. They are in Parable like a hard barren rock on which is a little soil; on it falls heavy rain which leaves it (just) a bare stone. They will be able to do nothing with aught they have earned. And God guideth not those who reject faith.,Rest_verses
264,And the likeness of those who spend their substance seeking to please God and to strengthen their souls is as a garden high and fertile: heavy rain falls on it but makes it yield a double increase of harvest and if it receives not heavy rain light moisture sufficeth it. God seeth well whatever ye do.,Rest_verses
265,Does any of you wish that he should have a garden with date-palms and vines and streams flowing underneath and all kinds of fruit while he is stricken with old age and his children are not strong (enough to look after themselves) that it should be caught in a whirlwind with fire therein and be burnt up? Thus doth God make clear to you (His) signs; that ye may consider.,Fasting
266,O ye who believe! give of the good things which ye have (honorably) earned and of the fruits of the earth which We have produced for you and do not even aim at getting anything which is bad in order that out of it ye may give away something when ye yourselves would not receive it except with closed eyes. And know that God is free of all wants and worthy of all praise.,Rest_verses
267, The Evil One threatens you with poverty and bids you to conduct unseemly. God promiseth you His forgiveness and bounties and God careth for all and He knoweth all things.,Rest_verses
268,He granteth wisdom to whom He pleaseth; and he to whom wisdom is granted receiveth indeed a benefit overflowing; but none will grasp the message but men of understanding.,Rest_verses
269,And whatever ye spend in charity or devotion be sure God knows it all. But the wrong-doers have no helpers.,Rest_verses
270,If ye disclose (acts of) charity even so it is well but if ye conceal them and make them reach those (really) in need that is best for you: it will remove from you some of your (stains of) evil. And God is well acquainted with what ye do.,Rest_verses
271,"It is not required of thee (O Apostles) to set them on the right path but God sets on the right path whom He pleaseth. Whatever of good ye give benefits your own souls and ye shall only do so seeking the OFace” of God. Whatever good ye give, shall be rendered back to you and ye shall not be dealt with unjustly.",Rest_verses
272, (Charity is) for those in need who in God’s cause are restricted (from travel) and cannot move about in the land seeking (for trade or work). The ignorant man thinks because of their modesty that they are free from want. Thou shalt know them by their (unfailing) mark: they beg not importunately from all and sundry. And whatever of good ye give be assured God knoweth it well.,Rest_verses
273,Those who (in charity) spend of their goods by night and by day in secret and in public have their reward with their Lord: on them shall be no fear nor shall they grieve.,Rest_verses
274,Those who devour usury will not stand except as stands one whom the Evil One by his touch hath driven to madness. That is because they say: OTrade is like usury but God hath permitted trade and forbidden usury. Those who after receiving direction from their Lord desist shall be pardoned for the past; their case is for God (to judge); but those who repeat (the offence) are companions of the fire: they will abide therein (for ever).,Rest_verses
275,God will deprive usury of all blessing but will give increase for deeds of charity: for He loveth not creatures ungrateful and wicked.,Rest_verses
276,Those who believe and do deeds of righteousness and establish regular prayers and regular charity will have their reward with their Lord: on them shall be no fear nor shall they grieve.,Rest_verses
277,O ye who believe! fear God and give up what remains of your demand for usury if ye are indeed believers.,Rest_verses
278,If ye do it not take notice of war from God and his Apostle: but if ye turn back ye shall have your capital sums; deal not unjustly and ye shall not be dealt with unjustly.,Rest_verses
279,If the debtor is in a difficulty grant him time till it is easy for him to repay. but it ye remit if by way of charity that is best for you if ye only knew.,Rest_verses
280,And fear the day when ye shall be brought back to God. Then shall every soul be paid what it earned and none shall be dealt with unjustly.,Rest_verses
281,O ye who believe! when ye deal with each other in transactions involving future obligations in a fixed period of time reduce them to writing. Let a scribe write down faithfully as between the parties: let not the scribe refuse to write as God has taught him so let him write. Let him who incurs the liability dictate but let him fear his Lord God and not diminish aught of what he owes. If the party liable is mentally deficient or weak or unable himself to dictate let his guardian dictate faithfully. And get two witnesses out of your own men and if there are not two men then a man and two women such as ye choose for witnesses so that if one of them errs the other can remind her. The witnesses should not refuse when they are called on (for evidence). Disdain not to reduce to writing (your contract) for a future period whether it be small or big: it is juster in the sight of God more suitable as evidence and more convenient to prevent doubts among yourselves; but if it be a transaction which ye carry out on the spot among yourselves there is no blame on you if ye reduce it not to writing. But take witnesses whenever ye make a commercial contract; and let neither scribe nor witness suffer harm. If ye do (such harm) it would be wickedness in you. So fear God; for it is God that teaches you. And God is well acquainted with all things.,Pilgrimage
282,If ye are on a journey and cannot find a scribe a pledge with possession (may serve the purpose). And if one of you deposits a thing on trust with another let the trustee (faithfully) discharge his trust and let him fear his Lord. Conceal not evidence; for whoever conceals it his heart is tainted with sin. And God knoweth all that ye do.,Rest_verses
283,To God belongeth all that is in the heavens and on earth. Whether ye show what is in your minds or conceal it God calleth you to account for it. He forgiveth whom He pleaseth and punisheth whom He pleaseth. For God hath power over all things.,Rest_verses
284,The Apostle believeth in what hath been revealed to him from his Lord as do the men of faith. Each one (of them) believeth in God His angels His books and His Apostles OWe make no distinction (they say) between one and another of His Apostles.” And they say: OWe hear and we obey; (We seek) Thy forgiveness Our Lord and to Thee is the end of all journeys.”,Rest_verses
285,On no soul doth God place a burden greater than it can bear. It gets every good that it earns and it suffers every ill that it earns. (Pray): OOur Lord! condemn us not if we forget or fall into error; our Lord! Lay not on us a burden like that which Thou didst lay on those before us; Our Lord! lay not on us a burden greater than we have strength to bear. Blot out our sins and grant us forgiveness. Have mercy on us. Thou art our Protector; help us against those who stand against faith.”,Rest_verses
